athlete_id,activity_id,date,week_no,hrr_window_start_secs,hrr_window_end_secs,HRR(30)
091ff782-d063-4411-9f40-9b679eaf44da,2019_04_22_09_15_29.csv,2019-04-22T07:15:29.000000,22,17201,17230,17
091ff782-d063-4411-9f40-9b679eaf44da,2019_05_01_08_37_16.csv,2019-05-01T06:37:16.000000,23,25184,25213,10
091ff782-d063-4411-9f40-9b679eaf44da,2019_05_12_10_16_37.csv,2019-05-12T08:16:37.000000,25,2265,2294,27
091ff782-d063-4411-9f40-9b679eaf44da,2019_05_25_12_24_11.csv,2019-05-25T10:24:11.000000,27,6046,6075,29
091ff782-d063-4411-9f40-9b679eaf44da,2019_05_30_13_15_32.csv,2019-05-30T11:15:32.000000,28,22746,22775,33
091ff782-d063-4411-9f40-9b679eaf44da,2019_07_11_06_32_50.csv,2019-07-11T04:32:50.000000,34,2047,2076,5
091ff782-d063-4411-9f40-9b679eaf44da,2019_07_11_16_53_39.csv,2019-07-11T14:53:39.000000,34,1001,1030,11
091ff782-d063-4411-9f40-9b679eaf44da,2019_07_13_14_48_08.csv,2019-07-13T12:48:08.000000,34,4087,4116,9
d5b08556-ac8c-43b7-bd28-b37152623424,2019_09_07_13_41_01.csv,2019-09-07T12:41:01.000000,6,3463,3492,42
d5b08556-ac8c-43b7-bd28-b37152623424,2019_09_15_08_37_20.csv,2019-09-15T07:37:20.000000,7,8506,8535,30
d5b08556-ac8c-43b7-bd28-b37152623424,2019_09_15_08_37_20.csv,2019-09-15T07:37:20.000000,7,9541,9570,22
d5b08556-ac8c-43b7-bd28-b37152623424,2019_10_13_09_58_22.csv,2019-10-13T08:58:22.000000,11,1622,1651,20
d5b08556-ac8c-43b7-bd28-b37152623424,2019_10_18_15_01_57.csv,2019-10-18T14:01:57.000000,12,1375,1404,24
d5b08556-ac8c-43b7-bd28-b37152623424,2019_11_15_13_54_02.csv,2019-11-15T13:54:02.000000,16,3461,3490,34
d5b08556-ac8c-43b7-bd28-b37152623424,2019_12_30_13_23_28.csv,2019-12-30T13:23:28.000000,22,3163,3192,24
d5b08556-ac8c-43b7-bd28-b37152623424,2020_01_26_15_00_20.csv,2020-01-26T15:00:20.000000,26,1941,1970,26
d5b08556-ac8c-43b7-bd28-b37152623424,2020_03_07_15_45_34.csv,2020-03-07T15:45:34.000000,32,1351,1380,34
d5b08556-ac8c-43b7-bd28-b37152623424,2020_03_18_16_30_50.csv,2020-03-18T16:30:50.000000,33,1449,1478,21
d5b08556-ac8c-43b7-bd28-b37152623424,2020_03_23_16_38_18.csv,2020-03-23T16:38:18.000000,34,1952,1981,24
d5b08556-ac8c-43b7-bd28-b37152623424,2020_04_21_19_35_43.csv,2020-04-21T18:35:43.000000,38,2985,3014,21
d5b08556-ac8c-43b7-bd28-b37152623424,2020_04_28_19_33_33.csv,2020-04-28T18:33:33.000000,39,2349,2378,26
d5b08556-ac8c-43b7-bd28-b37152623424,2020_04_30_18_12_17.csv,2020-04-30T17:12:17.000000,39,2308,2337,23
a1b0ba71-e335-4fd9-8f9a-cc7b5a951ab9,2018_04_29_10_03_46.csv,2018-04-29T08:03:46.000000,16,9308,9337,33
a1b0ba71-e335-4fd9-8f9a-cc7b5a951ab9,2018_06_05_17_12_00.csv,2018-06-05T15:12:00.000000,21,1888,1917,28
a1b0ba71-e335-4fd9-8f9a-cc7b5a951ab9,2018_06_05_17_12_00.csv,2018-06-05T15:12:00.000000,21,3621,3650,30
a1b0ba71-e335-4fd9-8f9a-cc7b5a951ab9,2018_06_05_17_12_00.csv,2018-06-05T15:12:00.000000,21,4467,4496,23
a1b0ba71-e335-4fd9-8f9a-cc7b5a951ab9,2018_07_13_17_08_43.csv,2018-07-13T15:08:43.000000,27,4532,4561,25
a1b0ba71-e335-4fd9-8f9a-cc7b5a951ab9,2018_09_21_16_35_41.csv,2018-09-21T14:35:41.000000,37,4901,4930,17
a1b0ba71-e335-4fd9-8f9a-cc7b5a951ab9,2019_05_25_13_43_55.csv,2019-05-25T11:43:55.000000,72,6606,6635,21
a1b0ba71-e335-4fd9-8f9a-cc7b5a951ab9,2019_06_26_16_15_37.csv,2019-06-26T14:15:37.000000,76,10058,10087,23
